RESONANCE TRAJECTORIES IF THEY EXIST
i_energy=   1  state_ini=      1
L_ORBITAL     B_IMPACT   R_FINAL  PHI_FINAL  SURV_PROBAB  %ERR_ENERGY  %ERR_PROBAB  LOOPS  OSCIL
        0     0.000000    12.071      0.000   0.03286759  831.6379469   0.02621647      0     50
       15    10.159590     9.797     31.416   0.01196525  849.1047187   0.00525520      5     45
        1     0.927439    10.543      3.701   0.05980636  831.7403398   0.05668407      0     50
       16    10.815710     8.870     31.416   0.02294589  852.4244701   0.00577948      5     42
        2     1.606372    11.291      6.481   0.07840182  831.9591326   0.06286520      1     50
       17    11.471793     9.194     31.416   0.15183989  856.3319382   0.00300555      5     43
        3     2.271753    10.280      8.649   0.03702145  832.2795931   0.03240729      1     50
       18    12.127845     8.367     31.416   0.00586710  860.9484360   0.00291541      5     40
        4     2.932821    11.097     11.368   0.02059047  832.7223426   0.03682618      1     50
       19    12.783871     8.199     31.416   0.01821942  866.4615404   0.00902613      5     36
        5     3.591958    11.468     13.290   0.07716556  833.2847871   0.04016133      2     50
       20    13.439875     7.924     31.417   0.17310751  873.1331245   0.00213173      5     37
        6     4.250062    10.676     15.981   0.00531161  833.9841265   0.02972800      2     50
       21    14.095860     8.111     31.416   0.00069048  881.2954100   0.00324531      5     34
        7     4.907548    10.900     18.026   0.04453460  834.8122893   0.03221678      2     50
       22    14.751828     9.333     31.416   0.02971161  891.3328015   0.00119032      5     32
        8     5.564637    10.023     20.425   0.01711431  835.8125026   0.01361224      3     50
       23    15.407782     9.046     31.416   0.02978165  902.7110708   0.00044412      5     36
        9     6.221453    10.646     23.441   0.05513895  836.9748456   0.02887700      3     50
       24    16.063723     9.942     31.416   0.25621753  904.1351856   0.00177652      5     30
       10     6.878075    11.034     25.122   0.20726479  838.3184985   0.03022991      3     50
       11     7.534554    10.172     27.437   0.05870179  839.8964086   0.01665573      4     50
       12     8.190924    10.679     30.054   0.12398506  841.7195419   0.03344123      4     50
       13     8.847209     9.995     30.725   0.03374911  843.8247010   0.01510805      4     50
       14     9.503427     9.320     31.416   0.11830641  846.2641521   0.00789908      5     48
 
